latitude,longitude,nkill,city,attacktype1_txt
31.633078,74.878288,3,Amritsar,Bombing/Explosion
24.798346,93.94043,14,Imphal,Unknown
31.147131,75.341218,0,Unknown,Bombing/Explosion
30.933135,74.622476,1,Ferozepur district,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,0,Unknown,Bombing/Explosion
28.585836,77.153336,2,New Delhi,Assassination
31.147131,75.341218,0,Unknown,Assassination
31.633078,74.878288,4,Amritsar,Assassination
28.690073,77.213982,1,Delhi,Assassination
23.807118,91.563953,0,Baramura,Armed Assault
31.147131,75.341218,2,Unknown,Bombing/Explosion
31.633078,74.878288,3,Amritsar,Assassination
30.733315,76.779418,1,Chandigarh,Assassination
31.147131,75.341218,0,Unknown,Bombing/Explosion
27.023803,74.217933,2,Unknown,Unknown
31.147131,75.341218,0,Unknown,Bombing/Explosion
30.210994,74.945474,1,Bhatinda,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
30.210994,74.945474,1,Bhatinda,Assassination
30.966064,76.523162,0,Rupnagar,Facility/Infrastructure Attack
31.052128,76.117499,2,Rahon,Assassination
30.34,76.38,1,Patiala,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,,Unknown,Armed Assault
31.633078,74.878288,2,Amritsar,Armed Assault
28.831237,76.39556,1,Kalanaur,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.147131,75.341218,0,Unknown,Facility/Infrastructure Attack
31.633078,74.878288,1,Amritsar,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.633078,74.878288,1,Amritsar,Assassination
33.315527,74.622476,2,Bhela,Assassination
30.733315,76.779418,1,Chandigarh,Assassination
31.147131,75.341218,,Unknown,Bombing/Explosion
30.378179,76.776697,2,Ambala,Assassination
,,1,Unknown,Assassination
,,0,Unknown,Facility/Infrastructure Attack
31.800654,75.788018,1,Jogiana,Assassination
30.464581,77.640726,3,Amarkot,Armed Assault
