,latitude,longitude,nkill,city,attacktype1_txt
105,26.149794,91.763931,1.0,Gauhati,Bombing/Explosion
106,31.147130999999998,75.34121800000001,4.0,Unknown,Hostage Taking (Kidnapping)
107,26.149794,91.763931,0.0,Gauhati,Assassination
108,31.326015,75.576183,0.0,Jalandhar,Assassination
109,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
110,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
111,31.147130999999998,75.34121800000001,2.0,Unknown,Assassination
112,23.940848000000003,91.988153,4.0,Unknown,Armed Assault
113,25.906267,93.72759,1.0,Dimapur,Assassination
114,31.147130999999998,75.34121800000001,1.0,Unknown,Unknown
115,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
116,31.147130999999998,75.34121800000001,1.0,Unknown,Armed Assault
117,30.210994,74.945474,0.0,Bhatinda,Facility/Infrastructure Attack
118,30.210994,74.945474,0.0,Bhatinda,Facility/Infrastructure Attack
119,30.210994,74.945474,0.0,Bhatinda,Facility/Infrastructure Attack
120,31.633078,74.878288,0.0,Amritsar,Bombing/Explosion
121,31.534899,75.91057099999999,0.0,Hoshiapur,Bombing/Explosion
122,29.980676000000003,76.584475,3.0,Pehowa,Armed Assault
123,31.147130999999998,75.34121800000001,5.0,Unknown,Armed Assault
124,31.633078,74.878288,3.0,Amritsar,Bombing/Explosion
125,24.798346,93.94043,14.0,Imphal,Unknown
126,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
127,30.933134999999996,74.622476,1.0,Ferozepur district,Assassination
128,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
129,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
130,28.585835999999997,77.153336,2.0,New Delhi,Assassination
131,31.147130999999998,75.34121800000001,0.0,Unknown,Assassination
132,31.633078,74.878288,4.0,Amritsar,Assassination
133,28.690072999999998,77.213982,1.0,Delhi,Assassination
134,23.807118,91.563953,0.0,Baramura,Armed Assault
135,31.147130999999998,75.34121800000001,2.0,Unknown,Bombing/Explosion
136,31.633078,74.878288,3.0,Amritsar,Assassination
137,30.733315,76.779418,1.0,Chandigarh,Assassination
138,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
139,27.023803000000004,74.217933,2.0,Unknown,Unknown
140,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
141,30.210994,74.945474,1.0,Bhatinda,Bombing/Explosion
142,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
143,30.210994,74.945474,1.0,Bhatinda,Assassination
144,30.966064000000003,76.523162,0.0,Rupnagar,Facility/Infrastructure Attack
145,31.052128000000003,76.117499,2.0,Rahon,Assassination
146,30.34,76.38,1.0,Patiala,Assassination
147,31.633078,74.878288,1.0,Amritsar,Assassination
148,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
149,31.147130999999998,75.34121800000001,0.0,Unknown,Armed Assault
150,31.633078,74.878288,2.0,Amritsar,Armed Assault
151,28.831236999999998,76.39556,1.0,Kalanaur,Assassination
152,31.633078,74.878288,1.0,Amritsar,Assassination
153,31.633078,74.878288,1.0,Amritsar,Assassination
154,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
155,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
156,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
157,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
158,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
159,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
160,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
161,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
162,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
163,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
164,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
165,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
166,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
167,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
168,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
169,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
170,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
171,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
172,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
173,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
174,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
175,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
