,latitude,longitude,nkill
0,28.585835999999997,77.153336,0.0
1,25.863042,85.78100400000001,4.0
2,28.585835999999997,77.153336,0.0
3,19.075984,72.877656,0.0
4,26.200605,92.937574,0.0
5,24.798346,93.94043,3.0
6,24.663717000000002,93.906269,4.0
7,23.164543,92.937574,1.0
8,26.200604000000002,92.937574,2.0
9,23.727107,92.717639,0.0
10,23.727107,92.717639,0.0
11,16.435329,77.831725,1.0
13,23.469545,93.33793399999999,1.0
14,23.727107,92.717639,1.0
15,22.804567000000002,86.202875,1.0
16,28.585835999999997,77.153336,1.0
17,28.585835999999997,77.153336,1.0
18,22.804567000000002,86.202875,3.0
19,13.08268,80.270718,3.0
20,24.663717000000002,93.906269,4.0
21,26.846709000000004,80.946159,0.0
22,24.663717000000002,93.906269,1.0
23,25.096073999999998,85.313119,3.0
24,24.798346,93.94043,1.0
25,24.663717000000002,93.906269,2.0
27,25.410833,78.73916700000001,4.0
28,22.551729,88.35234100000001,2.0
29,28.585835999999997,77.153336,1.0
30,12.492222,78.567778,6.0
31,26.200605,92.937574,0.0
32,26.200605,92.937574,0.0
33,26.200605,92.937574,0.0
34,24.663717000000002,93.906269,6.0
35,26.200605,92.937574,0.0
36,26.200605,92.937574,0.0
37,26.149794,91.763931,0.0
38,26.149794,91.763931,0.0
39,26.75602,94.20945,1.0
40,26.158435,94.562443,3.0
41,26.200605,92.937574,0.0
43,24.663717000000002,93.906269,0.0
44,26.200605,92.937574,0.0
45,24.663717000000002,93.906269,9.0
46,21.214185999999998,73.243362,1.0
47,28.585835999999997,77.153336,0.0
48,30.733315,76.779418,1.0
49,30.733315,76.779418,3.0
50,24.663717000000002,93.906269,20.0
51,22.986757,87.854975,6.0
52,26.149794,91.763931,19.0
53,28.585835999999997,77.153336,1.0
54,23.727107,92.717639,1.0
55,23.164543,92.937574,4.0
56,26.292046999999997,73.032411,1.0
57,19.075984,72.877656,0.0
58,31.633078,74.878288,5.0
59,24.2355,93.025391,6.0
60,31.633078,74.878288,1.0
61,28.585835999999997,77.153336,0.0
62,19.075984,72.877656,0.0
63,26.200605,92.937574,0.0
64,28.585835999999997,77.153336,0.0
65,28.585835999999997,77.153336,0.0
66,28.585835999999997,77.153336,0.0
67,26.149794,91.763931,0.0
68,26.149794,91.763931,1.0
69,28.585835999999997,77.153336,0.0
70,28.585835999999997,77.153336,0.0
71,26.200605,92.937574,0.0
72,26.149794,91.763931,0.0
73,31.780193,75.451952,0.0
74,30.663937,74.40178900000001,1.0
75,31.818914000000003,75.376351,0.0
76,31.147130999999998,75.34121800000001,0.0
77,21.656917,82.159196,10.0
78,26.149794,91.763931,0.0
79,26.149794,91.763931,2.0
80,26.149794,91.763931,0.0
81,26.449923,80.331874,0.0
82,26.149794,91.763931,0.0
83,31.633078,74.878288,2.0
84,31.214128000000002,75.19539300000001,1.0
85,31.326015,75.576183,2.0
86,30.476639000000002,74.511172,2.0
87,31.326015,75.576183,0.0
88,30.898024,75.860077,2.0
89,31.633078,74.878288,0.0
90,31.633078,74.878288,0.0
